Year,P,A,E,C
2000,1262.645,2232.179119,0,0
2001,1271.85,2418.247621,0,0
2002,1280.4,2639.12143,0,0
2003,1288.4,2904.037244,0,0
2004,1296.075,3197.740575,80887,155972.0334
2005,1303.72,3562.110061,80511,192067.6717
2006,1311.02,4015.244503,78726,222818.5249
2007,1317.885,4586.648364,94377,273950.0211
2008,1324.655,5029.291071,103066,300644.0508
2009,1331.26,5501.98034,112323,357198.3217
2010,1337.705,6087.163875,123178,400043.0236
2011,1344.13,6668.538681,130896,437948.8816
2012,1350.695,7192.934987,144895,551796.2588
2013,1357.38,7751.549115,153940,665793.5411
2014,1364.27,8327.160832,163937,745474.6745
2015,1371.22,8913.503612,180130,848909.5907
2016,1378.665,9523.968279,196738,985793.4636
2017,1386.395,10185.61748,210342,1106568.962
2018,1392.73,10873.12362,225654,1288957.329
2019,1397.715,11520.04341,240128,1493948.082
