Year,P,A,E,C
2000,6.7,153.4,5174.4,5248.4
2001,6.7,154.3,5332.4,5214.5
2002,6.7,156.8,5397.9,5282.8
2003,6.7,161.6,5823.5,5294.0
2004,6.8,175.7,5704.3,5221.8
2005,6.8,188.6,6016.9,5257.5
2006,6.9,201.9,6227.6,5202.8
2007,6.9,215.0,6163.1,5149.2
2008,7.0,219.5,6444.4,5071.8
2009,7.0,214.1,6452.6,5025.2
2010,7.0,228.6,6930.0,5110.3
2011,7.1,239.6,6302.8,5043.9
2012,7.2,243.7,5558.5,5216.3
2013,7.2,251.3,5493.3,5352.9
2014,7.2,258.2,5623.6,5484.7
2015,7.3,264.4,5740.7,5695.9
2016,7.3,270.1,5698.7,5816.5
2017,7.4,280.4,5748.2,6018.0
2018,7.5,288.3,5948.7,6407.4
2019,7.5,284.7,5674.7,6199.4
