Year,P,A,E,C
2000,429,12691,277485,25317057.88
2001,430,12968,277195,24681224.2
2002,431,13114,280038,24041972.61
2003,432,13236,276089,23243204.53
2004,434,13580,275332,22238106.24
2005,436,13842,278924,21521721.04
2006,437,14326,281905,21001652.87
2007,438,14778,284853,20594496.96
2008,440,14873,281981,19443221.84
2009,441,14230,280283,19121481.24
2010,442,14544,278809,18649137.08
2011,441,14811,278379,18057652.97
2012,441,14699,273396,17077552.64
2013,442,14691,270975,16300128.77
2014,444,14922,272006,15789364.51
2015,445,15265,274200,15268861.5
2016,445,15578,283182,15200545.9
2017,446,16012,285229,15047921.08
2018,447,16351,286283,14889043.16
2019,448,16605,289742,14992807.59
