Year,P,A,E,C,p_f,a_f,e_f,c_f
2001,430,12968,277195,24681224.2,56573.691436649126,460309.78536355373,-564069.9340921609,-608829.8440496998
2002,431,13114,280038,24041972.61,54959.71887403133,208569.50469020993,-23536.658027162575,-896926.9442866574
2003,432,13236,276089,23243204.53,52822.16156573189,157514.64237573268,-548840.8292395308,-456370.72925065923
2004,434,13580,275332,22238106.24,99892.93043379369,447712.0183162362,-635067.7698407173,-939575.5807428946
2005,436,13842,278924,21521721.04,96806.24455218238,302569.4821254178,-130835.5792072908,-1012943.2543429311
2006,437,14326,281905,21001652.87,47365.68995036245,644109.1698954923,-503837.4784249064,-753584.515712009
2007,438,14778,284853,20594496.96,46467.398120494996,569997.8886619294,-429838.2375206831,-629722.2603191525
2008,440,14873,281981,19443221.84,85598.71922746439,34892.03272696093,-317429.073425336,-938750.5693806028
2009,441,14230,280283,19121481.24,42883.85485936234,-922533.3116842525,695888.0261850219,-203732.38437812516
2010,442,14544,278809,18649137.08,41596.0981693608,353152.35438715795,-512650.8520438298,-370631.6608202981
2011,441,14811,278379,18057652.97,-40310.04164314494,355979.8490514114,-357464.2416123186,-562097.69623008
2012,441,14699,273396,17077552.64,0.0,-126953.70372267747,-175642.88251403495,-650925.0819429045
2013,442,14691,270975,16300128.77,35968.829115560984,-44840.18750252958,-134018.85659402172,-623398.9742718964
2014,444,14922,272006,15789364.51,69800.75597207548,170301.5262790302,-185505.24430223575,-573803.9446065106
2015,445,15265,274200,15268861.5,33671.93687639147,301013.8643546159,-223672.62117118016,-650296.6996473618
2016,445,15578,283182,15200545.9,0.0,301471.52399452793,178734.47957369708,-577607.8757847256
2017,446,16012,285229,15047921.08,33513.73366731687,368313.5782875122,-309683.5226452044,-263335.5299829717
2018,447,16351,286283,14889043.16,33083.917694380616,271932.84564172715,-260051.27284981325,-214821.77646318817
2019,448,16605,289742,14992807.59,33542.10329278902,195696.85277249684,-51395.052442009415,-76584.66572050292
