Year,P,A,E,C
2000,282.162411,12620.26839,243450,234041.1199
2001,284.968955,12746.26168,240800,229744.027
2002,287.625193,12968.26271,245330,235112.5293
2003,290.107933,13339.31204,246420,231044.7158
2004,292.805298,13846.05799,254120,239763.0506
2005,295.516599,14332.4996,253730,237106.7811
2006,298.379912,14741.6885,257100,237603.5805
2007,301.231207,15018.26785,256500,233428.506
2008,304.093966,14997.75593,252650,229163.4173
2009,306.771529,14617.2993,244920,221873.2446
2010,309.321666,14992.05273,251050,226837.9458
2011,311.556874,15224.5548,251970,222205.3156
2012,313.83099,15567.03814,252290,222974.7676
2013,315.993715,15853.79561,255070,225885.2348
2014,318.301008,16254.25828,258400,228393.2466
2015,320.635163,16726.93566,262110,231038.1381
2016,322.941311,17000.89584,268110,235741.7673
2017,324.985539,17403.78321,268660,236363.5285
2018,326.687501,17913.24863,292360,244923.2296
2019,328.239523,18300.38551,0,0
