Year,P,A,E,C,p_f,a_f,e_f,c_f
2001,284.968955,12746.26168,240800,229744.027,2230.3335248734634,8.303635593930268,-4852.579555346434,-1739.5801655831278
2002,287.625193,12968.26271,245330,235112.5293,2186.275718848376,1884.9612149819702,325.5050676139503,1056.2367730175717
2003,290.107933,13339.31204,246420,231044.7158,1950.5813888860189,4403.688481676153,-5574.876142739954,-5121.569065697285
2004,292.805298,13846.05799,254120,239763.0506,2238.9054386112557,6656.78589735215,-1601.408004664541,1521.4980923340745
2005,295.516599,14332.4996,253730,237106.7811,2151.5699489684525,5815.953462690632,-8813.768145993614,-2284.5938960465505
2006,298.379912,14741.6885,257100,237603.5805,2270.855825505843,4320.585675319392,-3610.0097137484377,-2669.257712717972
2007,301.231207,15018.26785,256500,233428.506,2178.9976184331167,2080.632404857162,-4942.84424404877,-3615.4184879465724
2008,304.093966,14997.75593,252650,229163.4173,2127.2593983633883,-2484.4844437538272,-3166.6302909932233,-755.532436931223
2009,306.771529,14617.2993,244920,221873.2446,1896.3202645312335,-7787.285829885406,-1179.9735182231805,-274.3235589361685
2010,309.321666,14992.05273,251050,226837.9458,1882.8982452309888,3841.3508778114706,-136.31245168190668,-595.7166835484745
2011,311.556874,15224.5548,251970,222205.3156,1571.6638622193243,1785.7882825495535,-2609.715238032292,-5473.321143596732
2012,313.83099,15567.03814,252290,222974.7676,1612.212637804103,3294.135305388169,-4784.400983433328,487.415645091273
2013,315.993715,15853.79561,255070,225885.2348,1550.6094464900348,2559.1383621210684,-1670.4655434500903,455.94405669589577
2014,318.301008,16254.25828,258400,228393.2466,1658.3779683453974,3986.878667221847,-2782.988468053013,-443.7527014948012
2015,320.635163,16726.93566,262110,231038.1381,1684.9830771571553,4857.914018577916,-3396.46328633142,-638.6366221476695
2016,322.941311,17000.89584,268110,235741.7673,1694.3379264826374,2142.370213424421,1511.264099209378,-591.7286447722104
2017,324.985539,17403.78321,268660,236363.5285,1483.581593990943,3980.4014427657385,-5167.065040240644,138.2572359471895
2018,326.687501,17913.24863,292360,244923.2296,1292.29144972206,5740.715076762367,13116.833555560363,-12806.510132360627
2019,328.239523,18300.38551,0,0,399.2495178909019,1381.4299697232866,126884.02408369802,126884.02408369804
